190
33332,test_MyPlanIQ Diversified Core Allocation ETF Plan_Tactical Asset Allocation_3,2011-05-06 00:00:00,fail,2011-09-13 18:11:09,2011-09-13 18:11:09,0.796secs,success.
33331,test_TD Ameritrade Commission Free ETFs_Tactical Asset Allocation_2,2011-09-01 00:00:00,fail,2011-09-13 18:11:09,2011-09-13 18:11:10,0.577secs,"Exception : No price exception!
Security ID : 890
Security Name : CASH
Date : 2011-09-01 00:00:00.0
	com.lti.cache.YearCache.getValue(YearCache.java:123)
	com.lti.cache.YearCache.getOpen(YearCache.java:69)
	com.lti.service.impl.SecurityManagerImplWithYearCache.getOpenPrice(SecurityManagerImplWithYearCache.java:78)
	com.lti.executor.Simulator.refreshprice(Simulator.java:336)
	com.lti.executor.Simulator.simulate(Simulator.java:930)
	com.lti.executor.Executor.execute(Executor.java:804)
	com.lti.executor.Executor.execute(Executor.java:975)
	com.lti.executor.Executor.execute(Executor.java:907)
	com.lti.executor.BatchExecutorThread.run(BatchExecutorThread.java:223)
"
33330,test_MyPlanIQ Diversified Core Allocation ETF Plan_Tactical Asset Allocation_2,2011-05-06 00:00:00,fail,2011-09-13 18:11:10,2011-09-13 18:11:11,0.81secs,success.
33329,test_Hewlett Packard 401K_Tactical Asset Allocation_8,2011-08-10 00:00:00,fail,2011-09-13 18:11:11,2011-09-13 18:11:17,6.451secs,"Index: 0, Size: 0
	java.util.ArrayList.RangeCheck(Unknown Source)
	java.util.ArrayList.get(Unknown Source)
	com.lti.executor.Simulator.dividendAdjustment(Simulator.java:736)
	com.lti.executor.Simulator.simulate(Simulator.java:950)
	com.lti.executor.Executor.execute(Executor.java:804)
	com.lti.executor.Executor.execute(Executor.java:975)
	com.lti.executor.Executor.execute(Executor.java:907)
	com.lti.executor.BatchExecutorThread.run(BatchExecutorThread.java:223)
"
33328,test_Hewlett Packard 401K_Tactical Asset Allocation_7,2011-08-10 00:00:00,fail,2011-09-13 18:11:17,2011-09-13 18:11:18,1.146secs,"Index: 0, Size: 0
	java.util.ArrayList.RangeCheck(Unknown Source)
	java.util.ArrayList.get(Unknown Source)
	com.lti.executor.Simulator.dividendAdjustment(Simulator.java:736)
	com.lti.executor.Simulator.simulate(Simulator.java:950)
	com.lti.executor.Executor.execute(Executor.java:804)
	com.lti.executor.Executor.execute(Executor.java:975)
	com.lti.executor.Executor.execute(Executor.java:907)
	com.lti.executor.BatchExecutorThread.run(BatchExecutorThread.java:223)
"
33327,test_Hewlett Packard 401K_Tactical Asset Allocation_6,2011-08-10 00:00:00,fail,2011-09-13 18:11:18,2011-09-13 18:11:19,0.938secs,"Index: 0, Size: 0
	java.util.ArrayList.RangeCheck(Unknown Source)
	java.util.ArrayList.get(Unknown Source)
	com.lti.executor.Simulator.dividendAdjustment(Simulator.java:736)
	com.lti.executor.Simulator.simulate(Simulator.java:950)
	com.lti.executor.Executor.execute(Executor.java:804)
	com.lti.executor.Executor.execute(Executor.java:975)
	com.lti.executor.Executor.execute(Executor.java:907)
	com.lti.executor.BatchExecutorThread.run(BatchExecutorThread.java:223)
"
33326,test_Hewlett Packard 401K_Tactical Asset Allocation_5,2011-08-10 00:00:00,fail,2011-09-13 18:11:19,2011-09-13 18:11:20,0.938secs,"Index: 0, Size: 0
	java.util.ArrayList.RangeCheck(Unknown Source)
	java.util.ArrayList.get(Unknown Source)
	com.lti.executor.Simulator.dividendAdjustment(Simulator.java:736)
	com.lti.executor.Simulator.simulate(Simulator.java:950)
	com.lti.executor.Executor.execute(Executor.java:804)
	com.lti.executor.Executor.execute(Executor.java:975)
	com.lti.executor.Executor.execute(Executor.java:907)
	com.lti.executor.BatchExecutorThread.run(BatchExecutorThread.java:223)
"
33312,test_Hewlett Packard 401K_Tactical Asset Allocation_4,2011-08-10 00:00:00,fail,2011-09-13 18:11:20,2011-09-13 18:11:21,0.94secs,"Index: 0, Size: 0
	java.util.ArrayList.RangeCheck(Unknown Source)
	java.util.ArrayList.get(Unknown Source)
	com.lti.executor.Simulator.dividendAdjustment(Simulator.java:736)
	com.lti.executor.Simulator.simulate(Simulator.java:950)
	com.lti.executor.Executor.execute(Executor.java:804)
	com.lti.executor.Executor.execute(Executor.java:975)
	com.lti.executor.Executor.execute(Executor.java:907)
	com.lti.executor.BatchExecutorThread.run(BatchExecutorThread.java:223)
"
33309,test_Hewlett Packard 401K_Tactical Asset Allocation14,2011-08-10 00:00:00,fail,2011-09-13 18:11:21,2011-09-13 18:11:22,0.924secs,"Index: 0, Size: 0
	java.util.ArrayList.RangeCheck(Unknown Source)
	java.util.ArrayList.get(Unknown Source)
	com.lti.executor.Simulator.dividendAdjustment(Simulator.java:736)
	com.lti.executor.Simulator.simulate(Simulator.java:950)
	com.lti.executor.Executor.execute(Executor.java:804)
	com.lti.executor.Executor.execute(Executor.java:975)
	com.lti.executor.Executor.execute(Executor.java:907)
	com.lti.executor.BatchExecutorThread.run(BatchExecutorThread.java:223)
"
33308,test_Hewlett Packard 401K_Tactical Asset Allocation13,2011-08-10 00:00:00,fail,2011-09-13 18:11:22,2011-09-13 18:11:23,1.049secs,"Index: 0, Size: 0
	java.util.ArrayList.RangeCheck(Unknown Source)
	java.util.ArrayList.get(Unknown Source)
	com.lti.executor.Simulator.dividendAdjustment(Simulator.java:736)
	com.lti.executor.Simulator.simulate(Simulator.java:950)
	com.lti.executor.Executor.execute(Executor.java:804)
	com.lti.executor.Executor.execute(Executor.java:975)
	com.lti.executor.Executor.execute(Executor.java:907)
	com.lti.executor.BatchExecutorThread.run(BatchExecutorThread.java:223)
"
